state,month,normal_temperature
Dadra and Nagar Haveli,7,31.813899181290125
Dadra and Nagar Haveli,8,30.158201983007444
Dadra and Nagar Haveli,9,31.182600418606935
Dadra and Nagar Haveli,10,33.35359679598748
Dadra and Nagar Haveli,11,32.51209082156402
Dadra and Nagar Haveli,12,29.737168430525074
Daman and Diu,1,28.056149130974735
Daman and Diu,2,31.443568362610893
Daman and Diu,3,34.59202105007691
Daman and Diu,4,36.7450494172772
Daman and Diu,5,36.514217283322715
Daman and Diu,6,33.64228332372697
Daman and Diu,7,32.014378834999995
Daman and Diu,8,30.659495297452537
Daman and Diu,9,31.245949322936344
Daman and Diu,10,33.6143252922844
Daman and Diu,11,32.64819772430345
Daman and Diu,12,29.425700933496653
Delhi,1,18.254513974289047
Delhi,2,25.308763979613556
Delhi,3,30.77929577020845
Delhi,4,37.477901390946094
Delhi,5,38.62506348783999
Delhi,6,38.9325096752432
Delhi,7,35.41568476488222
Delhi,8,34.613843145204186
Delhi,9,34.50147441955206
Delhi,10,33.243092222004336
Delhi,11,28.168368834255453
Delhi,12,22.47182220276712
Goa,1,31.392154865273767
Goa,2,32.655342880702726
Goa,3,33.672504571026785
Goa,4,34.5662892715302
Goa,5,33.66705978655471
Goa,6,30.64241029685517
Goa,7,28.168348787085943
Goa,8,28.900062921289567
Goa,9,29.425025055806838
Goa,10,31.171080645264798
Goa,11,32.08121146305569
Goa,12,31.756189254932387
Gujarat,1,26.984143571303246
Gujarat,2,31.461607508118696
Gujarat,3,34.62911195119884
Gujarat,4,37.546925150657415
Gujarat,5,38.09748303142297
Gujarat,6,35.71340732755595
Gujarat,7,32.2685580559325
Gujarat,8,31.367286891318923
Gujarat,9,32.45937545683505
Gujarat,10,34.37015575699862
Gujarat,11,32.23959005710765
Gujarat,12,28.76741843610479
Haryana,1,17.925681199608324
Haryana,2,24.68689466340787
Haryana,3,29.733138108225177
Haryana,4,36.33686534005519
Haryana,5,37.949113814382585
Haryana,6,38.26001530616177
Haryana,7,34.77646802860373
Haryana,8,34.27591917939481
Haryana,9,34.074467162771946
Haryana,10,32.72721393882631
Haryana,11,27.56485900627678
Haryana,12,21.995858353936004
Himachal Pradesh,1,14.029645972178194
Himachal Pradesh,2,18.74330241590157
Himachal Pradesh,3,23.29478980643436
Himachal Pradesh,4,28.501147645814424
Himachal Pradesh,5,30.20778062659216
Himachal Pradesh,6,31.87819415598105
Himachal Pradesh,7,29.832398861957653
Himachal Pradesh,8,29.86114232391957
Himachal Pradesh,9,29.363930192517813
Himachal Pradesh,10,27.07286755451149
Himachal Pradesh,11,22.03194155941965
Himachal Pradesh,12,17.333054367345774
Jammu and Kashmir,1,10.693868627565253
Jammu and Kashmir,2,15.457487663264262
Jammu and Kashmir,3,19.79945249863101
Jammu and Kashmir,4,24.970918943068394
Jammu and Kashmir,5,27.88321517337986
Jammu and Kashmir,6,30.80180657693021
Jammu and Kashmir,7,29.924280415497826
Jammu and Kashmir,8,30.187829199068002
Jammu and Kashmir,9,29.319538553907847
Jammu and Kashmir,10,25.31536941712603
Jammu and Kashmir,11,19.299773663326388
Jammu and Kashmir,12,14.321178270406552
Jharkhand,1,23.742385082299887
Jharkhand,2,27.885141052416728
Jharkhand,3,32.78494164221832
Jharkhand,4,37.66710329931089
Jharkhand,5,36.53417508199274
Jharkhand,6,35.24944761237557
Jharkhand,7,33.01170066301586
Jharkhand,8,32.067635151064216
Jharkhand,9,32.254313433416144
Jharkhand,10,31.750156099116253
Jharkhand,11,29.049951400125405
Jharkhand,12,25.405287236945956
Karnataka,1,30.205393993812915
Karnataka,2,32.3987340132482
Karnataka,3,34.78416292040715
Karnataka,4,36.07243627132449
Karnataka,5,34.52544443286819
Karnataka,6,31.36612837319963
Karnataka,7,28.506899860486733
Karnataka,8,29.078896431111293
Karnataka,9,29.43643973478691
Karnataka,10,30.388335078179527
Karnataka,11,29.66257693296887
Karnataka,12,29.42939883476788
Kerala,1,29.83406441741583
Kerala,2,31.270520564742053
Kerala,3,32.82278377621292
Kerala,4,33.33580941468782
Kerala,5,31.743020831881438
Kerala,6,30.134261656246792
Kerala,7,28.693454788907758
Kerala,8,29.21404779230989
Kerala,9,29.446422140072027
Kerala,10,29.728931292690994
Kerala,11,29.01923847157721
Kerala,12,29.22119008208393
Madhya Pradesh,1,24.100942241034208
Madhya Pradesh,2,29.00677539187461
Madhya Pradesh,3,33.74256540791754
Madhya Pradesh,4,38.809423992551935
Madhya Pradesh,5,40.013907302908564
Madhya Pradesh,6,36.894793939407094
Madhya Pradesh,7,32.559362151135566
Madhya Pradesh,8,30.653200554118502
Madhya Pradesh,9,31.71136420215315
Madhya Pradesh,10,32.67945088882534
Madhya Pradesh,11,29.696135462984817
Madhya Pradesh,12,25.900508220595768
Maharashtra,1,29.26239207447639
Maharashtra,2,32.34246016349862
Maharashtra,3,35.53961666555379
Maharashtra,4,38.472004031175096
Maharashtra,5,38.77009579783321
Maharashtra,6,34.42346678542129
Maharashtra,7,30.257268031533684
Maharashtra,8,29.998499361618094
Maharashtra,9,30.63440195153117
Maharashtra,10,32.18698538735464
Maharashtra,11,31.147837005310723
Maharashtra,12,29.56105491133079
Manipur,1,22.881754908489057
Manipur,2,25.078892207381518
Manipur,3,29.155380950816852
Manipur,4,30.39783839751367
Manipur,5,30.260067565814786
Manipur,6,30.784013133018195
Manipur,7,31.724767293096946
Manipur,8,31.75629224658165
Manipur,9,32.30299182408709
Manipur,10,30.975629648529914
Manipur,11,28.78639825047444
Manipur,12,25.243063476721414
Meghalaya,1,22.556870525350686
Meghalaya,2,24.851035991371425
Meghalaya,3,28.913284312706786
Meghalaya,4,30.447113574116745
Meghalaya,5,30.33913946279736
Meghalaya,6,30.7059408146334
Meghalaya,7,31.565896618838668
Meghalaya,8,31.912057670046252
Meghalaya,9,32.04954927478565
Meghalaya,10,30.776887437073466
Meghalaya,11,28.547788247601
Meghalaya,12,25.01333043789855
Mizoram,1,22.40966037225123
Mizoram,2,25.031267732094143
Mizoram,3,29.077868758002797
Mizoram,4,30.831425773046426
Mizoram,5,30.31606137169012
Mizoram,6,30.686926733037645
Mizoram,7,31.481312190223743
Mizoram,8,31.556914274123137
Mizoram,9,31.729516759031252
Mizoram,10,30.574709909332448
Mizoram,11,28.24220070135271
Mizoram,12,24.70467002591008
Nagaland,1,23.336082776347666
Nagaland,2,25.125349515558874
Nagaland,3,29.03752880758368
Nagaland,4,30.083060626872463
Nagaland,5,30.7233716698449
Nagaland,6,31.631486651999026
Nagaland,7,32.53901942908234
Nagaland,8,32.729912850043775
Nagaland,9,33.042118586898006
Nagaland,10,31.663633213702386
Nagaland,11,29.368358067896843
Nagaland,12,25.700735209318612
Odisha,1,27.52213881986707
Odisha,2,30.441564511834937
Odisha,3,34.24225160298199
Odisha,4,37.32906091084181
Odisha,5,37.00475888628221
Odisha,6,35.00437646800113
Odisha,7,32.14214236334569
Odisha,8,31.682869372496203
Odisha,9,31.93075322655277
Odisha,10,32.03168471598283
Odisha,11,29.913256868700245
Odisha,12,27.509909573155603
Puducherry,1,30.32243245676823
Puducherry,2,31.96659919381021
Puducherry,3,34.218301948654975
Puducherry,4,35.96240167746268
Puducherry,5,36.364399771992176
Puducherry,6,36.56278338184727
Puducherry,7,34.85039737784037
Puducherry,8,34.970230566536955
Puducherry,9,34.23296965404325
Puducherry,10,32.874774681068786
Puducherry,11,30.178005419485682
Puducherry,12,29.719051583681356
Punjab,1,16.576501531382206
Punjab,2,22.551933056021127
Punjab,3,27.200836134794965
Punjab,4,33.92955120364783
Punjab,5,36.61341337368101
Punjab,6,37.87140795811522
Punjab,7,34.31250095386362
Punjab,8,33.997926353005106
Punjab,9,33.80281110260714
Punjab,10,31.81736800148999
Punjab,11,26.22287730310293
Punjab,12,20.73385690073474
Rajasthan,1,22.100014838949836
Rajasthan,2,28.39189682382068
Rajasthan,3,32.98746499530871
Rajasthan,4,38.11202339137156
Rajasthan,5,39.864585196122086
Rajasthan,6,38.52289859497438
Rajasthan,7,34.64464062518605
Rajasthan,8,33.10665576340367
Rajasthan,9,34.03137930527063
Rajasthan,10,34.1391034520707
Rajasthan,11,29.62757556981416
Rajasthan,12,25.076364160963717
Sikkim,1,19.60972998499684
Sikkim,2,22.51314924832099
Sikkim,3,27.045785609630027
Sikkim,4,29.62133512781472
Sikkim,5,28.7224872987115
Sikkim,6,29.5136203921627
Sikkim,7,29.84000737465772
Sikkim,8,29.99763922794765
Sikkim,9,29.827882246678573
Sikkim,10,28.922152421564164
Sikkim,11,26.429913653316827
Sikkim,12,22.396842931730802
Tamil Nadu,1,30.0567597559508
Tamil Nadu,2,32.050624781779234
Tamil Nadu,3,34.425503541543065
Tamil Nadu,4,35.793318382388044
Tamil Nadu,5,35.34874338740427
Tamil Nadu,6,34.65159967134254
Tamil Nadu,7,33.03116040523844
Tamil Nadu,8,33.28424582788487
Tamil Nadu,9,32.83879246187846
Tamil Nadu,10,31.858380139830185
Tamil Nadu,11,29.60700308638547
Tamil Nadu,12,29.296666070740457
Telangana,1,30.135863867953375
Telangana,2,32.73764240561597
Telangana,3,35.992726221547244
Telangana,4,38.67385368422131
Telangana,5,39.00794531784664
Telangana,6,35.808595525318204
Telangana,7,30.910664242821845
Telangana,8,31.276365982451466
Telangana,9,31.08410104319886
Telangana,10,31.956793124863797
Telangana,11,30.5448928638694
Telangana,12,29.72050575873735
Tripura,1,22.433681103070263
Tripura,2,25.068084041520198
Tripura,3,29.06331274560999
Tripura,4,30.99946300362428
Tripura,5,30.414351933716187
Tripura,6,30.816575154686475
Tripura,7,31.547019897960208
Tripura,8,31.591730926124537
Tripura,9,31.61829257698265
Tripura,10,30.576127933514606
Tripura,11,28.220988172266555
Tripura,12,24.692417383250106
Uttar Pradesh,1,19.386138518301248
Uttar Pradesh,2,25.76804529941074
Uttar Pradesh,3,31.420372661380654
Uttar Pradesh,4,37.71838551428273
Uttar Pradesh,5,37.42760079666567
Uttar Pradesh,6,37.015794466379695
Uttar Pradesh,7,34.300621103327906
Uttar Pradesh,8,33.082639210635726
Uttar Pradesh,9,33.11307314628533
Uttar Pradesh,10,32.39106958184206
Uttar Pradesh,11,28.31825497718765
Uttar Pradesh,12,23.367443801880384
Uttarakhand,1,15.587682902599417
Uttarakhand,2,20.660913073819263
Uttarakhand,3,25.696495999274045
Uttarakhand,4,31.06379641856054
Uttarakhand,5,31.121321307275704
Uttarakhand,6,31.802165075485743
Uttarakhand,7,29.542758181322128
Uttarakhand,8,29.522649151138545
Uttarakhand,9,29.038776232238977
Uttarakhand,10,27.501172296603922
Uttarakhand,11,23.220119993343992
Uttarakhand,12,18.793111084844544
West Bengal,1,23.356453519992556
West Bengal,2,27.08709789752324
West Bengal,3,31.78616244453509
West Bengal,4,35.26762884083949
West Bengal,5,34.12309324585821
West Bengal,6,33.85586885479948
West Bengal,7,33.04879363186887
West Bengal,8,32.55033764445828
West Bengal,9,32.45785366137072
West Bengal,10,31.925503769238873
West Bengal,11,29.281724904544486
West Bengal,12,25.40467600169296
