date,ST_NM,electricity_name,MaxTemp_C,Daily_Energy_MU,Peak_Met_MW,Peak_Unmet_MW
2020-01-02,Punjab,Punjab,19.06482509231516,121.0,6176.0,0.0
2020-01-02,Rajasthan,Rajasthan,20.546083618200427,239.1,13670.0,0.0
2020-01-02,Sikkim,Sikkim,20.213930089632765,2.0,130.0,0.0
2020-01-02,Tamil Nadu,Tamil Nadu,30.536991287605694,286.8,14048.0,0.0
2020-01-02,Telangana,Telangana,27.931081391266645,201.7,10359.0,0.0
2020-01-02,Tripura,Tripura,22.882730270574346,3.5,225.0,2.0
2020-01-02,Uttar Pradesh,Uttar Pradesh,20.527124998515283,299.0,15989.0,0.0
2020-01-02,Uttarakhand,Uttarakhand,16.730227521459426,39.2,2110.0,0.0
2020-01-02,West Bengal,West Bengal,23.496522598606656,107.0,6062.0,0.0
2020-01-03,Andhra Pradesh,Andhra Pradesh,29.66747554360469,171.2,8433.0,0.0
2020-01-03,Arunachal Pradesh,Arunachal Pradesh,18.68306059222771,2.2,121.0,2.0
2020-01-03,Assam,Assam,18.10666842169501,21.7,1304.0,43.0
2020-01-03,Bihar,Bihar,20.7910142511524,76.4,4252.0,0.0
2020-01-03,Chandigarh,Chandigarh,19.218917846679688,4.3,276.0,0.0
2020-01-03,Chhattisgarh,Chhattisgarh,22.537544763340836,68.1,3332.0,0.0
2020-01-03,Dadara & Nagar Havelli,Dadra and Nagar Haveli,26.02941818072776,18.6,786.0,0.0
2020-01-03,Daman & Diu,Daman and Diu,25.757747976756544,7.2,326.0,0.0
2020-01-03,NCT of Delhi,Delhi,21.455069162578532,76.6,4728.0,0.0
2020-01-03,Goa,Goa,31.31626793628822,12.9,516.0,0.0
2020-01-03,Gujarat,Gujarat,24.361480477752718,320.7,15469.0,0.0
2020-01-03,Haryana,Haryana,20.974549559751217,132.6,6937.0,0.0
2020-01-03,Himachal Pradesh,Himachal Pradesh,16.03484462848034,31.0,1750.0,0.0
2020-01-03,Jammu & Kashmir,Jammu and Kashmir,12.255791149920212,53.2,2680.0,670.0
2020-01-03,Jharkhand,Jharkhand,20.58543010797294,22.6,1295.0,0.0
2020-01-03,Karnataka,Karnataka,30.31726789288156,217.5,12173.0,0.0
2020-01-03,Kerala,Kerala,30.63697360715288,75.4,3732.0,0.0
2020-01-03,Madhya Pradesh,Madhya Pradesh,21.12546642770017,227.4,12778.0,0.0
2020-01-03,Maharashtra,Maharashtra,25.719167220964568,408.6,20224.0,0.0
2020-01-03,Manipur,Manipur,17.922116888441032,2.7,210.0,1.0
2020-01-03,Meghalaya,Meghalaya,18.51197686633077,6.2,363.0,0.0
2020-01-03,Mizoram,Mizoram,17.53897511505551,1.9,111.0,2.0
2020-01-03,Nagaland,Nagaland,18.356708257266643,2.3,124.0,1.0
2020-01-03,Odisha,Odisha,21.62120993593437,62.9,3475.0,0.0
2020-01-03,Puducherry,Puducherry,31.371627698071077,7.2,366.0,0.0
2020-01-03,Punjab,Punjab,19.75910754559502,121.4,6228.0,0.0
2020-01-03,Rajasthan,Rajasthan,21.82690973604416,240.4,13864.0,0.0
2020-01-03,Sikkim,Sikkim,18.6905338425724,2.0,137.0,0.0
2020-01-03,Tamil Nadu,Tamil Nadu,31.20231837676839,298.3,14435.0,0.0
2020-01-03,Telangana,Telangana,27.2899091051652,194.9,9921.0,0.0
2020-01-03,Tripura,Tripura,18.0581246980148,3.3,207.0,2.0
2020-01-03,Uttar Pradesh,Uttar Pradesh,19.893075734290814,286.8,15709.0,0.0
2020-01-03,Uttarakhand,Uttarakhand,17.334823485274406,39.2,2081.0,0.0
2020-01-03,West Bengal,West Bengal,19.78614443976025,106.4,5775.0,0.0
2020-01-04,Andhra Pradesh,Andhra Pradesh,29.415853982057055,166.4,8004.0,0.0
2020-01-04,Arunachal Pradesh,Arunachal Pradesh,20.519182487712776,2.2,123.0,1.0
2020-01-04,Assam,Assam,20.018112600344377,21.4,1343.0,17.0
2020-01-04,Bihar,Bihar,19.7830042053127,75.3,4258.0,0.0
2020-01-04,Chandigarh,Chandigarh,17.391101837158203,4.0,246.0,0.0
2020-01-04,Chhattisgarh,Chhattisgarh,22.68755125099515,73.1,3414.0,0.0
2020-01-04,Dadara & Nagar Havelli,Dadra and Nagar Haveli,25.80397545840872,18.3,786.0,0.0
2020-01-04,Daman & Diu,Daman and Diu,25.772956037858428,7.2,317.0,0.0
2020-01-04,NCT of Delhi,Delhi,19.710588957681423,71.1,4215.0,0.0
2020-01-04,Goa,Goa,29.848242565819,12.7,491.0,0.0
2020-01-04,Gujarat,Gujarat,25.35398077435877,319.4,15441.0,0.0
2020-01-04,Haryana,Haryana,19.5667414100385,132.1,6900.0,0.0
2020-01-04,Himachal Pradesh,Himachal Pradesh,13.582246208616336,30.1,1635.0,7.0
2020-01-04,Jammu & Kashmir,Jammu and Kashmir,10.251539062739754,53.3,2934.0,734.0
2020-01-04,Jharkhand,Jharkhand,21.04322372572214,23.9,1232.0,0.0
2020-01-04,Karnataka,Karnataka,29.901446682412796,217.4,12205.0,0.0
2020-01-04,Kerala,Kerala,30.86537070512857,74.9,3654.0,0.0
2020-01-04,Madhya Pradesh,Madhya Pradesh,20.91036132413336,230.3,12714.0,0.0
2020-01-04,Maharashtra,Maharashtra,25.554616447629623,408.1,20301.0,0.0
2020-01-04,Manipur,Manipur,20.250826480618205,2.5,215.0,2.0
2020-01-04,Meghalaya,Meghalaya,20.530761447645283,6.1,368.0,0.0
2020-01-04,Mizoram,Mizoram,19.92775870474009,1.8,106.0,1.0
2020-01-04,Nagaland,Nagaland,20.570399491075158,2.3,128.0,2.0
2020-01-04,Odisha,Odisha,22.9662512110333,64.0,3534.0,0.0
2020-01-04,Puducherry,Puducherry,31.39537243888358,7.0,351.0,0.0
2020-01-04,Punjab,Punjab,17.900329382716574,118.0,6159.0,0.0
2020-01-04,Rajasthan,Rajasthan,22.30027437112832,241.9,13658.0,0.0
2020-01-04,Sikkim,Sikkim,18.446892833326785,1.5,123.0,0.0
2020-01-04,Tamil Nadu,Tamil Nadu,31.43411432733413,294.2,14397.0,0.0
2020-01-04,Telangana,Telangana,27.007734290293325,191.9,9618.0,0.0
2020-01-04,Tripura,Tripura,20.430726877960247,3.3,218.0,0.0
2020-01-04,Uttar Pradesh,Uttar Pradesh,18.604481898042152,294.2,15743.0,0.0
2020-01-04,Uttarakhand,Uttarakhand,14.634324735040211,40.1,2102.0,0.0
2020-01-04,West Bengal,West Bengal,20.785729935054597,109.3,5978.0,0.0
2020-01-05,Andhra Pradesh,Andhra Pradesh,28.681114017267387,160.8,8042.0,0.0
2020-01-05,Arunachal Pradesh,Arunachal Pradesh,18.69381489204737,2.3,122.0,3.0
2020-01-05,Assam,Assam,18.208169574834443,20.7,1260.0,134.0
2020-01-05,Bihar,Bihar,19.49471402780332,76.2,4299.0,0.0
2020-01-05,Chandigarh,Chandigarh,16.128171920776367,3.8,227.0,0.0
2020-01-05,Chhattisgarh,Chhattisgarh,23.689230078533043,74.2,3449.0,0.0
2020-01-05,Dadara & Nagar Havelli,Dadra and Nagar Haveli,26.94100406502029,18.1,774.0,0.0
2020-01-05,Daman & Diu,Daman and Diu,27.59559350401514,6.5,286.0,0.0
2020-01-05,NCT of Delhi,Delhi,20.007177341115806,69.0,4182.0,0.0
2020-01-05,Goa,Goa,30.12736718959367,10.9,410.0,0.0
2020-01-05,Gujarat,Gujarat,26.426240837389717,307.9,15059.0,0.0
2020-01-05,Haryana,Haryana,19.158701217649558,121.4,6308.0,0.0
2020-01-05,Himachal Pradesh,Himachal Pradesh,12.348330203470288,29.2,1614.0,0.0
2020-01-05,Jammu & Kashmir,Jammu and Kashmir,8.11728226483413,51.2,2538.0,634.0
2020-01-05,Jharkhand,Jharkhand,21.4394463960748,23.3,1310.0,0.0
2020-01-05,Karnataka,Karnataka,29.464560902670087,201.0,11072.0,0.0
2020-01-05,Kerala,Kerala,30.538645283064927,68.2,3432.0,0.0
2020-01-05,Madhya Pradesh,Madhya Pradesh,21.80305059358124,228.8,12702.0,0.0
2020-01-05,Maharashtra,Maharashtra,26.216670179541737,398.2,19648.0,0.0
2020-01-05,Manipur,Manipur,18.59867963414934,2.6,183.0,3.0
2020-01-05,Meghalaya,Meghalaya,18.485587659315563,6.2,356.0,5.0
2020-01-05,Mizoram,Mizoram,19.0604761669814,1.8,112.0,2.0
2020-01-05,Nagaland,Nagaland,18.82844100238275,2.1,128.0,1.0
2020-01-05,Odisha,Odisha,25.032192416925376,63.6,3477.0,0.0
2020-01-05,Puducherry,Puducherry,31.273077988892418,6.5,324.0,0.0
2020-01-05,Punjab,Punjab,15.602024905566015,107.5,5484.0,0.0
2020-01-05,Rajasthan,Rajasthan,22.928208951459705,237.2,13146.0,0.0
2020-01-05,Sikkim,Sikkim,16.723329964689263,1.6,111.0,0.0
2020-01-05,Tamil Nadu,Tamil Nadu,31.015740379078764,279.2,12672.0,0.0
2020-01-05,Telangana,Telangana,27.48378493567034,190.8,9597.0,0.0
2020-01-05,Tripura,Tripura,19.495731508097997,3.3,224.0,24.0
2020-01-05,Uttar Pradesh,Uttar Pradesh,19.375953493640235,289.4,15637.0,150.0
2020-01-05,Uttarakhand,Uttarakhand,14.80085351911056,37.0,2008.0,0.0
2020-01-05,West Bengal,West Bengal,21.055772184150157,102.9,5550.0,0.0
2020-01-06,Andhra Pradesh,Andhra Pradesh,28.308341068405667,161.9,7842.0,0.0
2020-01-06,Arunachal Pradesh,Arunachal Pradesh,20.41766835362936,2.1,117.0,1.0
2020-01-06,Assam,Assam,19.122531292568706,22.6,1382.0,9.0
2020-01-06,Bihar,Bihar,19.16944422184075,80.1,4483.0,0.0
2020-01-06,Chandigarh,Chandigarh,12.715572357177734,4.6,274.0,0.0
2020-01-06,Chhattisgarh,Chhattisgarh,25.73564672371617,75.2,3572.0,0.0
2020-01-06,Dadara & Nagar Havelli,Dadra and Nagar Haveli,30.02209149240777,18.6,816.0,0.0
2020-01-06,Daman & Diu,Daman and Diu,30.57971816082798,6.9,315.0,0.0
2020-01-06,NCT of Delhi,Delhi,17.608386951622784,73.8,4341.0,0.0
2020-01-06,Goa,Goa,31.855088505906984,12.7,500.0,0.0
2020-01-06,Gujarat,Gujarat,28.94612793665658,318.9,15734.0,0.0
2020-01-06,Haryana,Haryana,16.512745721808695,125.7,6566.0,0.0
2020-01-06,Himachal Pradesh,Himachal Pradesh,9.573901010209564,30.8,1665.0,0.0
2020-01-06,Jammu & Kashmir,Jammu and Kashmir,5.955905261521833,52.0,2650.0,663.0
2020-01-06,Jharkhand,Jharkhand,21.96813547790696,24.6,1336.0,0.0
2020-01-06,Karnataka,Karnataka,29.58525346329627,213.2,11658.0,0.0
2020-01-06,Kerala,Kerala,30.31395578102788,73.7,3751.0,0.0
2020-01-06,Madhya Pradesh,Madhya Pradesh,25.14429194956156,238.3,13347.0,0.0
2020-01-06,Maharashtra,Maharashtra,28.591843186579887,422.9,21200.0,0.0
2020-01-06,Manipur,Manipur,19.704810805951183,2.6,203.0,0.0
2020-01-06,Meghalaya,Meghalaya,18.45830791221418,6.3,377.0,0.0
2020-01-06,Mizoram,Mizoram,19.53212383696188,1.8,103.0,1.0
2020-01-06,Nagaland,Nagaland,20.30918762294971,2.2,128.0,2.0
2020-01-06,Odisha,Odisha,25.34555233236074,64.2,3661.0,0.0
2020-01-06,Puducherry,Puducherry,30.55844374823845,7.2,367.0,0.0
2020-01-06,Punjab,Punjab,12.589811039177103,108.2,5440.0,0.0
2020-01-06,Rajasthan,Rajasthan,22.77526753387754,240.7,13442.0,0.0
2020-01-06,Sikkim,Sikkim,15.725957200919089,2.0,144.0,0.0
2020-01-06,Tamil Nadu,Tamil Nadu,30.30450583842688,290.7,14111.0,0.0
2020-01-06,Telangana,Telangana,28.136539119848067,201.0,10103.0,0.0
2020-01-06,Tripura,Tripura,19.64540331321652,3.3,217.0,0.0
2020-01-06,Uttar Pradesh,Uttar Pradesh,20.32219468846228,294.0,15303.0,0.0
2020-01-06,Uttarakhand,Uttarakhand,13.121447894035976,40.4,2106.0,0.0
2020-01-06,West Bengal,West Bengal,20.63007021779205,106.4,6081.0,0.0
2020-01-07,Andhra Pradesh,Andhra Pradesh,28.982224828285982,161.3,7668.0,0.0
2020-01-07,Arunachal Pradesh,Arunachal Pradesh,21.960971945520605,2.2,122.0,2.0
2020-01-07,Assam,Assam,20.61952647494046,22.4,1376.0,10.0
2020-01-07,Bihar,Bihar,20.77668693299296,79.7,4320.0,0.0
2020-01-07,Chandigarh,Chandigarh,12.956995010375977,4.7,275.0,0.0
2020-01-07,Chhattisgarh,Chhattisgarh,26.347071079654608,75.8,3553.0,0.0
2020-01-07,Dadara & Nagar Havelli,Dadra and Nagar Haveli,30.35489657637195,18.9,810.0,0.0
2020-01-07,Daman & Diu,Daman and Diu,29.98019389658815,7.3,327.0,0.0
2020-01-07,NCT of Delhi,Delhi,17.12430207854594,74.5,4338.0,0.0
2020-01-07,Goa,Goa,32.40401138158667,11.0,591.0,0.0
2020-01-07,Gujarat,Gujarat,27.584111163687453,324.5,15651.0,0.0
2020-01-07,Haryana,Haryana,16.074733023522732,124.7,6570.0,0.0
2020-01-07,Himachal Pradesh,Himachal Pradesh,9.367583345943238,31.3,1688.0,0.0
2020-01-07,Jammu & Kashmir,Jammu and Kashmir,5.684218244972532,49.9,2389.0,597.0
2020-01-07,Jharkhand,Jharkhand,23.11404457842952,24.2,1309.0,0.0
2020-01-07,Karnataka,Karnataka,30.163967037253627,215.4,11770.0,0.0
2020-01-07,Kerala,Kerala,30.04909487128232,74.4,3725.0,0.0
2020-01-07,Madhya Pradesh,Madhya Pradesh,26.065685970142304,242.4,13747.0,0.0
2020-01-07,Maharashtra,Maharashtra,29.508518980746743,437.2,21596.0,0.0
2020-01-07,Manipur,Manipur,20.613334222386907,2.6,205.0,3.0
2020-01-07,Meghalaya,Meghalaya,20.43849566414106,6.4,366.0,0.0
2020-01-07,Mizoram,Mizoram,19.79963112753173,1.7,105.0,1.0
2020-01-07,Nagaland,Nagaland,21.2325708177263,2.2,126.0,1.0
2020-01-07,Odisha,Odisha,26.12872115547628,66.0,3687.0,0.0
2020-01-07,Puducherry,Puducherry,30.47400830700349,7.4,357.0,0.0
2020-01-07,Punjab,Punjab,12.705462695096948,112.0,5698.0,0.0
2020-01-07,Rajasthan,Rajasthan,21.399982998608277,242.6,13672.0,0.0
2020-01-07,Sikkim,Sikkim,18.63903964083461,2.1,142.0,0.0
2020-01-07,Tamil Nadu,Tamil Nadu,30.199071198153423,291.7,13878.0,0.0
2020-01-07,Telangana,Telangana,28.95456660512892,209.3,10851.0,0.0
2020-01-07,Tripura,Tripura,19.88916342758628,3.5,226.0,1.0
2020-01-07,Uttar Pradesh,Uttar Pradesh,20.236133037251864,292.3,15897.0,0.0
2020-01-07,Uttarakhand,Uttarakhand,12.421276686362033,40.3,2086.0,0.0
2020-01-07,West Bengal,West Bengal,21.71516490624222,109.1,6327.0,0.0
2020-01-08,Andhra Pradesh,Andhra Pradesh,29.80554581443519,166.8,7990.0,0.0
2020-01-08,Arunachal Pradesh,Arunachal Pradesh,22.33507715335498,2.1,114.0,2.0
2020-01-08,Assam,Assam,21.37045441905133,22.0,1312.0,16.0
2020-01-08,Bihar,Bihar,20.30385712443515,79.5,4457.0,0.0
2020-01-08,Chandigarh,Chandigarh,11.595052719116213,4.7,278.0,0.0
2020-01-08,Chhattisgarh,Chhattisgarh,24.514037887366225,74.2,3597.0,0.0
2020-01-08,Dadara & Nagar Havelli,Dadra and Nagar Haveli,27.922769936756893,18.9,803.0,0.0
2020-01-08,Daman & Diu,Daman and Diu,27.41106844746692,7.3,326.0,0.0
2020-01-08,NCT of Delhi,Delhi,14.24780561700436,74.7,4282.0,0.0
2020-01-08,Goa,Goa,31.448266998319788,10.4,493.0,0.0
2020-01-08,Gujarat,Gujarat,25.541296439664528,320.9,15183.0,0.0
2020-01-08,Haryana,Haryana,13.794231869338889,120.2,6531.0,0.0
2020-01-08,Himachal Pradesh,Himachal Pradesh,8.911064542386924,27.9,1608.0,0.0
2020-01-08,Jammu & Kashmir,Jammu and Kashmir,6.772074157883122,51.9,2696.0,674.0
2020-01-08,Jharkhand,Jharkhand,22.58471775428565,25.6,1333.0,0.0
2020-01-08,Karnataka,Karnataka,30.41481634654705,216.7,11803.0,0.0
2020-01-08,Kerala,Kerala,30.83584297363749,66.7,3335.0,0.0
2020-01-08,Madhya Pradesh,Madhya Pradesh,23.21918085238835,227.7,12574.0,0.0
2020-01-08,Maharashtra,Maharashtra,28.374179764824763,436.9,21599.0,0.0
2020-01-08,Manipur,Manipur,21.475776814004035,2.6,201.0,2.0
2020-01-08,Meghalaya,Meghalaya,21.517008028168632,6.5,372.0,0.0
2020-01-08,Mizoram,Mizoram,21.236766112981726,1.8,100.0,0.0
2020-01-08,Nagaland,Nagaland,22.08262340297091,2.2,128.0,1.0
2020-01-08,Odisha,Odisha,26.066761632864075,64.6,3533.0,0.0
2020-01-08,Puducherry,Puducherry,31.00240334638224,6.9,327.0,0.0
2020-01-08,Punjab,Punjab,12.581993262433809,112.6,5748.0,0.0
2020-01-08,Rajasthan,Rajasthan,19.612891546547136,239.0,12950.0,79.0
2020-01-08,Sikkim,Sikkim,19.350426468998545,2.1,149.0,0.0
2020-01-08,Tamil Nadu,Tamil Nadu,30.930517828965105,298.3,14372.0,0.0
2020-01-08,Telangana,Telangana,29.235396363903597,209.4,10744.0,0.0
2020-01-08,Tripura,Tripura,21.55079730610989,3.9,217.0,0.0
2020-01-08,Uttar Pradesh,Uttar Pradesh,16.432990368490763,269.2,14413.0,0.0
2020-01-08,Uttarakhand,Uttarakhand,9.808788863778547,40.1,2153.0,0.0
2020-01-08,West Bengal,West Bengal,22.54702965320498,106.8,5533.0,0.0
2020-01-09,Andhra Pradesh,Andhra Pradesh,30.21534417616485,168.6,8193.0,0.0
2020-01-09,Arunachal Pradesh,Arunachal Pradesh,19.76529497860661,2.2,118.0,2.0
2020-01-09,Assam,Assam,20.004032363064177,23.0,1363.0,14.0
2020-01-09,Bihar,Bihar,20.11353194678356,70.5,4312.0,0.0
2020-01-09,Chandigarh,Chandigarh,14.386966705322266,4.7,282.0,0.0
2020-01-09,Chhattisgarh,Chhattisgarh,23.516556420438768,69.7,3439.0,0.0
2020-01-09,Dadara & Nagar Havelli,Dadra and Nagar Haveli,25.872568662836613,19.0,810.0,0.0
2020-01-09,Daman & Diu,Daman and Diu,25.375938417577515,7.2,322.0,0.0
2020-01-09,NCT of Delhi,Delhi,15.737573962568398,77.5,4586.0,0.0
2020-01-09,Goa,Goa,30.91739496580515,13.5,496.0,0.0
2020-01-09,Gujarat,Gujarat,23.3410944706539,317.8,15139.0,0.0
2020-01-09,Haryana,Haryana,15.452569939988996,126.5,6596.0,0.0
2020-01-09,Himachal Pradesh,Himachal Pradesh,11.409413761733507,28.8,1613.0,0.0
2020-01-09,Jammu & Kashmir,Jammu and Kashmir,8.449759030202173,53.8,2551.0,638.0
2020-01-09,Jharkhand,Jharkhand,21.015471525294025,23.9,1408.0,0.0
2020-01-09,Karnataka,Karnataka,30.21887663921836,225.6,12305.0,0.0
2020-01-09,Kerala,Kerala,30.465719971344143,73.0,3717.0,0.0
2020-01-09,Madhya Pradesh,Madhya Pradesh,19.895114002089414,231.1,12896.0,0.0
2020-01-09,Maharashtra,Maharashtra,26.60492850736588,428.4,20959.0,0.0
2020-01-09,Manipur,Manipur,19.52230602125716,2.7,206.0,2.0
2020-01-09,Meghalaya,Meghalaya,21.088710767381063,6.4,382.0,0.0
2020-01-09,Mizoram,Mizoram,19.67136901562744,1.8,105.0,1.0
2020-01-09,Nagaland,Nagaland,19.93891302503294,2.3,123.0,2.0
2020-01-09,Odisha,Odisha,25.431876982469426,65.2,3559.0,0.0
2020-01-09,Puducherry,Puducherry,30.566186898180256,6.4,347.0,0.0
2020-01-09,Punjab,Punjab,14.893327594489714,113.5,6000.0,0.0
2020-01-09,Rajasthan,Rajasthan,18.921036183842357,231.5,13495.0,0.0
2020-01-09,Sikkim,Sikkim,19.447495735454325,2.0,142.0,0.0
2020-01-09,Tamil Nadu,Tamil Nadu,30.50265244535485,298.3,14333.0,0.0
2020-01-09,Telangana,Telangana,29.016121454312533,212.1,10918.0,0.0
2020-01-09,Tripura,Tripura,20.24277578801937,3.4,219.0,1.0
2020-01-09,Uttar Pradesh,Uttar Pradesh,16.697030084529256,276.6,15452.0,595.0
2020-01-09,Uttarakhand,Uttarakhand,11.905680875375223,38.0,1993.0,0.0
2020-01-09,West Bengal,West Bengal,21.38585338039669,109.6,6143.0,0.0
2020-01-10,Andhra Pradesh,Andhra Pradesh,29.01414555575929,171.5,8521.0,0.0
2020-01-10,Arunachal Pradesh,Arunachal Pradesh,22.763211579487443,2.2,119.0,2.0
2020-01-10,Assam,Assam,21.71343799578845,22.4,1371.0,18.0
2020-01-10,Bihar,Bihar,18.55978100079946,80.2,4472.0,0.0
2020-01-10,Chandigarh,Chandigarh,16.46827507019043,4.6,287.0,0.0
2020-01-10,Chhattisgarh,Chhattisgarh,22.88632306873387,67.7,3389.0,0.0
2020-01-10,Dadara & Nagar Havelli,Dadra and Nagar Haveli,26.191903168071203,17.6,776.0,0.0
2020-01-10,Daman & Diu,Daman and Diu,26.554219290259333,6.3,308.0,0.0
2020-01-10,NCT of Delhi,Delhi,17.747728403453827,79.7,4802.0,0.0
2020-01-10,Goa,Goa,30.728377032814144,13.4,511.0,0.0
2020-01-10,Gujarat,Gujarat,23.764309856718285,313.9,15204.0,0.0
2020-01-10,Haryana,Haryana,17.552241734533855,129.7,6742.0,0.0
2020-01-10,Himachal Pradesh,Himachal Pradesh,13.626228059898194,30.2,1671.0,0.0
2020-01-10,Jammu & Kashmir,Jammu and Kashmir,9.861177161007284,53.2,2515.0,629.0
2020-01-10,Jharkhand,Jharkhand,20.094784304593187,24.4,1351.0,0.0
2020-01-10,Karnataka,Karnataka,29.560619520184357,226.8,12458.0,0.0
2020-01-10,Kerala,Kerala,30.039456537120483,73.4,3616.0,0.0
2020-01-10,Madhya Pradesh,Madhya Pradesh,19.687806973597738,236.6,13317.0,0.0
2020-01-10,Maharashtra,Maharashtra,25.98686903824152,427.0,21202.0,0.0
2020-01-10,Manipur,Manipur,22.083080887988,2.7,204.0,3.0
2020-01-10,Meghalaya,Meghalaya,21.535497412730177,6.5,377.0,0.0
2020-01-10,Mizoram,Mizoram,21.55882999336704,1.6,104.0,1.0
2020-01-10,Nagaland,Nagaland,22.8045102067274,2.2,124.0,2.0
2020-01-10,Odisha,Odisha,24.82274415737518,65.4,3574.0,0.0
2020-01-10,Puducherry,Puducherry,30.425539387225164,7.3,359.0,0.0
